1 1 1 1 2
2 2 3 4 7
3 3 6 8 13
4 4 10 12 20
5 5 15 17 27
6 6 21 25 38
7 7 28 31 48
8 8 36 37 54
9 9 45 44 65
10 10 55 51 71
11 11 66 59 85
12 12 78 65 92
13 13 91 73 105
14 14 105 80 116
15 15 120 90 125
16 16 136 102 141
17 17 153 109 151
18 18 171 117 161
19 19 190 129 175
20 20 210 133 184
21 21 231 146 199
22 22 253 156 212
23 23 276 169 225
24 24 300 181 234
25 25 325 187 245
26 26 351 201 266
27 27 378 203 272
28 28 406 215 289
29 29 435 222 298
30 30 465 233 307
31 31 496 247 325
32 32 528 255 338
33 33 561 264 348
34 34 595 280 366
35 35 630 293 383
36 36 666 300 391
37 37 703 310 409
38 38 741 328 421
39 39 780 345 444
40 40 820 349 452
41 41 861 355 454
42 42 903 376 484
43 43 946 381 490
44 44 990 390 510
45 45 1035 409 518
46 46 1081 425 541
47 47 1128 436 549
48 48 1176 443 563
49 49 1225 450 567
50 50 1275 467 594
51 51 1326 478 605
52 52 1378 492 624
53 53 1431 501 639
54 54 1485 512 643
55 55 1540 523 656
56 56 1596 534 679
57 57 1653 548 691
58 58 1711 563 712
59 59 1770 575 732
60 60 1830 581 738
61 61 1891 591 748
62 62 1953 611 774
63 63 2016 620 792
64 64 2080 635 802
65 65 2145 645 809
66 66 2211 658 832
67 67 2278 675 843
68 68 2346 693 867
69 69 2415 704 893
70 70 2485 712 894
71 71 2556 732 922
72 72 2628 740 924
73 73 2701 754 946
74 74 2775 774 970
75 75 2850 781 977
76 76 2926 798 999
77 77 3003 806 1004
78 78 3081 823 1023
79 79 3160 828 1033
80 80 3240 849 1048
81 81 3321 864 1077
82 82 3403 876 1094
83 83 3486 882 1099
84 84 3570 904 1119
85 85 3655 905 1124
86 86 3741 929 1150
87 87 3828 954 1187
88 88 3916 954 1185
89 89 4005 973 1210
90 90 4095 986 1212
91 91 4186 992 1226
92 92 4278 1014 1258
93 93 4371 1027 1271
94 94 4465 1033 1282
95 95 4560 1056 1308
96 96 4656 1062 1298
97 97 4753 1080 1335
98 98 4851 1097 1356
99 99 4950 1113 1375
100 100 5050 1126 1383
