1 1 1 1 2
2 2 3 4 7
3 3 6 7 12
4 4 10 13 21
5 5 15 17 28
6 6 21 25 38
7 7 28 30 47
8 8 36 37 55
9 9 45 43 62
10 10 55 52 75
11 11 66 58 82
12 12 78 68 97
13 13 91 73 105
14 14 105 85 120
15 15 120 91 129
16 16 136 102 142
17 17 153 106 147
18 18 171 117 163
19 19 190 129 169
20 20 210 138 182
21 21 231 145 196
22 22 253 157 212
23 23 276 168 221
24 24 300 171 232
25 25 325 185 246
26 26 351 196 261
27 27 378 203 271
28 28 406 213 281
29 29 435 228 305
30 30 465 236 312
31 31 496 245 321
32 32 528 256 338
33 33 561 271 353
34 34 595 278 364
35 35 630 291 380
36 36 666 297 389
37 37 703 313 411
38 38 741 327 424
39 39 780 334 428
40 40 820 352 459
41 41 861 367 467
42 42 903 367 475
43 43 946 381 490
44 44 990 397 507
45 45 1035 414 528
46 46 1081 421 546
47 47 1128 430 550
48 48 1176 443 569
49 49 1225 454 581
50 50 1275 451 579
51 51 1326 482 613
52 52 1378 480 615
53 53 1431 504 644
54 54 1485 512 650
55 55 1540 531 665
56 56 1596 542 692
57 57 1653 549 692
58 58 1711 561 716
59 59 1770 572 731
60 60 1830 593 751
61 61 1891 595 759
62 62 1953 609 768
63 63 2016 625 790
64 64 2080 625 785
65 65 2145 646 813
66 66 2211 658 837
67 67 2278 677 849
68 68 2346 684 862
69 69 2415 696 873
70 70 2485 711 899
