1 1 1 1 2
2 2 3 4 7
3 3 6 8 14
4 4 10 13 21
5 5 15 19 30
6 6 21 24 36
7 7 28 28 44
8 8 36 37 56
9 9 45 44 64
10 10 55 52 74
11 11 66 57 82
12 12 78 67 96
13 13 91 74 105
14 14 105 80 113
15 15 120 87 121
16 16 136 101 137
17 17 153 106 149
18 18 171 115 159
19 19 190 129 170
20 20 210 138 188
21 21 231 145 191
22 22 253 157 206
23 23 276 168 225
24 24 300 174 234
25 25 325 187 252
26 26 351 196 264
27 27 378 207 274
28 28 406 215 284
29 29 435 224 297
30 30 465 234 308
31 31 496 238 320
32 32 528 260 342
33 33 561 263 348
34 34 595 281 363
35 35 630 297 383
36 36 666 303 396
37 37 703 313 401
38 38 741 327 419
39 39 780 333 428
40 40 820 349 453
