1 1 1 1 2
2 2 3 4 7
3 3 6 8 14
4 4 10 12 20
5 5 15 17 28
6 6 21 24 36
7 7 28 31 47
8 8 36 37 53
9 9 45 45 66
10 10 55 53 77
11 11 66 60 83
12 12 78 67 94
13 13 91 73 103
14 14 105 83 116
15 15 120 90 125
16 16 136 97 132
17 17 153 108 151
18 18 171 118 161
19 19 190 127 175
20 20 210 137 186
21 21 231 144 194
22 22 253 154 210
23 23 276 169 230
24 24 300 181 241
25 25 325 181 247
26 26 351 191 256
27 27 378 206 273
28 28 406 210 281
29 29 435 226 302
30 30 465 235 311
31 31 496 248 329
32 32 528 257 340
33 33 561 263 345
34 34 595 274 363
35 35 630 292 383
36 36 666 295 385
37 37 703 314 407
38 38 741 327 413
39 39 780 339 443
40 40 820 354 456
41 41 861 359 466
42 42 903 372 473
43 43 946 382 490
44 44 990 397 510
45 45 1035 403 514
46 46 1081 418 541
47 47 1128 427 542
48 48 1176 440 562
49 49 1225 455 581
50 50 1275 462 587
51 51 1326 479 607
52 52 1378 492 621
53 53 1431 495 636
54 54 1485 507 644
55 55 1540 519 668
56 56 1596 531 679
57 57 1653 544 695
58 58 1711 560 712
59 59 1770 566 719
60 60 1830 588 752
