1 1 1 1 2
2 2 3 4 7
3 3 6 7 12
4 4 10 12 20
5 5 15 18 29
6 6 21 24 38
7 7 28 31 48
8 8 36 37 53
9 9 45 45 65
10 10 55 52 76
11 11 66 56 81
12 12 78 68 99
13 13 91 76 105
14 14 105 85 120
15 15 120 92 129
16 16 136 100 140
17 17 153 109 150
18 18 171 121 168
19 19 190 124 170
20 20 210 138 184
21 21 231 147 199
22 22 253 152 205
23 23 276 166 224
24 24 300 172 232
25 25 325 188 246
26 26 351 196 262
27 27 378 208 278
28 28 406 218 287
29 29 435 228 299
30 30 465 236 304
31 31 496 243 316
32 32 528 256 336
33 33 561 267 351
34 34 595 276 360
35 35 630 294 381
36 36 666 297 386
37 37 703 319 406
38 38 741 323 417
39 39 780 335 428
40 40 820 351 455
41 41 861 362 461
42 42 903 366 466
43 43 946 378 487
44 44 990 395 510
45 45 1035 411 520
46 46 1081 420 539
47 47 1128 433 550
48 48 1176 436 558
49 49 1225 452 579
50 50 1275 463 587
51 51 1326 475 610
52 52 1378 483 614
53 53 1431 507 642
54 54 1485 512 644
55 55 1540 524 669
56 56 1596 540 686
57 57 1653 545 696
58 58 1711 562 712
59 59 1770 573 723
60 60 1830 590 742
61 61 1891 589 736
62 62 1953 606 777
63 63 2016 622 787
64 64 2080 632 796
65 65 2145 643 810
66 66 2211 666 843
67 67 2278 680 850
68 68 2346 683 857
69 69 2415 705 880
70 70 2485 717 901
71 71 2556 726 907
72 72 2628 734 921
73 73 2701 754 941
74 74 2775 770 967
75 75 2850 779 973
76 76 2926 797 989
77 77 3003 813 1012
78 78 3081 828 1029
79 79 3160 841 1048
80 80 3240 848 1058
