1 1 1 1 2
2 2 3 4 7
3 3 6 8 14
4 4 10 13 21
5 5 15 19 30
6 6 21 24 35
7 7 28 30 46
8 8 36 38 56
9 9 45 45 67
10 10 55 53 73
11 11 66 60 87
12 12 78 68 96
13 13 91 75 106
14 14 105 84 118
15 15 120 91 126
16 16 136 101 138
17 17 153 112 152
18 18 171 116 159
19 19 190 122 171
20 20 210 134 180
21 21 231 148 202
22 22 253 158 215
23 23 276 171 225
24 24 300 176 234
25 25 325 184 242
26 26 351 198 266
27 27 378 199 269
28 28 406 217 289
29 29 435 227 297
30 30 465 231 313
31 31 496 246 321
32 32 528 257 335
33 33 561 264 344
34 34 595 277 362
35 35 630 291 383
36 36 666 300 393
37 37 703 317 412
38 38 741 322 422
39 39 780 330 431
40 40 820 350 450
41 41 861 361 470
42 42 903 366 473
43 43 946 386 498
44 44 990 394 499
45 45 1035 411 528
46 46 1081 419 545
47 47 1128 433 550
48 48 1176 443 565
49 49 1225 448 575
50 50 1275 461 587
