1 1 1 1 2
2 2 3 4 7
3 3 6 7 13
4 4 10 12 20
5 5 15 17 26
6 6 21 22 35
7 7 28 29 45
8 8 36 35 53
9 9 45 45 65
10 10 55 51 76
11 11 66 60 86
12 12 78 67 95
13 13 91 73 106
14 14 105 82 116
15 15 120 91 124
16 16 136 100 138
17 17 153 108 149
18 18 171 117 164
19 19 190 127 173
20 20 210 139 190
21 21 231 147 194
22 22 253 158 208
23 23 276 167 222
24 24 300 172 233
25 25 325 189 253
26 26 351 198 258
27 27 378 208 271
28 28 406 217 290
29 29 435 224 296
30 30 465 232 309
